"left sensor","right sensor","left ultrasound sensor","right ultrasound sensor","left motor","right motor"
"0.19","0.05","0.0","0.0","100","240"
"0.19","0.06","0.0","0.0","110","240"
"0.19","0.05","0.0","0.0","100","240"
"0.19","0.06","0.0","0.0","110","240"
"0.18","0.05","0.0","0.0","100","229"
"0.17","0.05","0.0","0.0","100","220"
"0.17","0.05","0.0","0.0","100","220"
"0.16","0.05","0.0","0.0","100","210"
"0.16","0.05","0.0","0.0","100","210"
"0.16","0.05","0.0","0.0","100","210"
"0.16","0.04","0.0","0.0","90","210"
"0.16","0.04","0.0","0.0","90","210"
"0.16","0.04","0.0","0.0","90","210"
"0.16","0.04","0.0","0.0","90","210"
"0.16","0.04","0.0","0.0","90","210"
"0.16","0.04","0.0","0.0","90","210"
"0.16","0.04","0.0","0.0","90","210"
"0.16","0.04","0.0","0.0","90","210"
"0.15","0.04","0.0","0.0","90","200"
"0.15","0.04","0.0","0.0","90","200"
"0.15","0.04","0.0","0.0","90","200"
"0.15","0.04","0.0","0.0","90","200"
"0.15","0.04","0.0","0.0","90","200"
"0.15","0.04","0.0","0.0","90","200"
"0.15","0.04","0.0","0.0","90","200"
"0.15","0.04","0.0","0.0","90","200"
"0.15","0.04","0.0","0.0","90","200"
"0.15","0.04","0.0","0.0","90","200"
"0.15","0.04","0.0","0.0","90","200"
"0.15","0.04","0.0","0.0","90","200"
"0.15","0.04","0.0","0.0","90","200"
"0.15","0.04","0.0","0.0","90","200"
"0.15","0.04","0.0","0.0","90","200"
"0.15","0.04","0.0","0.0","90","200"
"0.15","0.04","0.0","0.0","90","200"
"0.15","0.04","0.0","0.0","90","200"
"0.15","0.04","0.0","0.0","90","200"
"0.15","0.04","0.0","0.0","90","200"
"0.15","0.04","0.0","0.0","90","200"
"0.15","0.04","0.0","0.0","90","200"
"0.15","0.04","0.0","0.0","90","200"
"0.15","0.04","0.0","0.0","90","200"
"0.15","0.04","0.0","0.0","90","200"
"0.15","0.04","0.0","0.0","90","200"
"0.15","0.04","0.0","0.0","90","200"
"0.15","0.03","0.0","0.0","80","200"
"0.15","0.04","0.0","0.0","90","200"
"0.15","0.04","0.0","0.0","90","200"
"0.15","0.04","0.0","0.0","90","200"
"0.15","0.04","0.0","0.0","90","200"
"0.15","0.04","0.0","0.0","90","200"
"0.14","0.04","0.0","0.0","90","190"
"0.14","0.04","0.0","0.0","90","190"
"0.13","0.04","0.0","0.0","90","180"
"0.13","0.05","0.0","0.0","100","180"
"0.14","0.05","0.0","0.0","100","190"
"0.13","0.06","0.0","0.0","110","180"
"0.13","0.08","0.0","0.0","130","180"
"0.12","0.11","0.0","0.0","160","169"
"0.1","0.13","0.0","0.0","180","150"
"0.09","0.14","0.0","0.0","190","140"
"0.07","0.15","0.0","0.0","200","120"
